0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
11,0.0,0.0,0.0,0.11846129,0.06242583,0.0390642,0.0,0.11660777,0.0986879,0.09984907,0.0,0.09417606,0.12917691,0.015594945,0.058351427,0.08051297,0.12998454,0.0,0.13253863,0.08281057,0.0,0.049739685,0.034662053,0.018625462,0.14053336,0.0,0.0,0.1334457,0.036075383,0.0,0.0,0.059712186,0.023850488,0.09190661,0.13753544,0.062411375,0.0,0.023858871,0.059936505,0.0,0.00041687832,0.0,0.022962898,0.12602203,0.0,0.0,0.0,0.12116544,0.039801035,0.11048541,0.0,0.16140784,0.04275431,0.1133439,0.0,0.14559436,0.0,0.24821821,0.25026804,0.0,0.15553823,0.13060804,0.18515375,0.05270662,0.14773394,0.23830219,0.3574273,0.17377186,0.0,0.0,0.20863721,0.22538286,0.0051587294,0.077108875,0.32945722,0.0,0.0070388466,0.24468672,0.1819476,0.046469554,0.06630843,0.0,0.046198588,0.0,0.0,0.24306045,0.1385159,0.23313774,0.0,0.007901797,0.0,0.0,0.0,0.2374372,0.0,0.051907837,0.0,0.048262134,0.2112304,0.13454531
12,0.10155106,0.11036061,0.019466031,0.0,0.1425768,0.13631085,0.07874503,0.0,0.0,0.0,0.07147336,0.046522573,0.040329065,0.06384621,0.0,0.0,0.13879426,0.0076453662,0.0,0.12827814,0.04530007,0.14238337,0.060573526,0.007777565,0.0,0.05039571,0.106379114,0.0,0.13911478,0.11919487,0.0,0.07365894,0.037426066,0.0,0.12255668,0.091169424,0.06275168,0.13346554,0.03559329,0.06344099,0.07876422,0.049418725,0.0,0.0,0.07805976,0.0,0.0,0.008096885,0.0,0.1407837,0.0,0.15458938,0.0,0.04738498,0.0,0.033981316,0.17428447,0.058248304,0.012099831,0.009807435,0.19770847,0.16537644,0.26398563,0.17516607,0.0,0.0,0.100785024,0.0,0.06257488,0.064767286,0.26702088,0.064839885,0.0,0.04424167,0.0,0.0,0.28856015,0.0,0.28364354,0.070050105,0.13021658,0.0,0.1394646,0.0278568,0.031116791,0.2803185,0.25052294,0.09820112,0.07127527,0.2058374,0.16073738,0.114678,0.0,0.0,0.0,0.0,0.0,0.0,0.13914938,0.2041052
13,0.0006501436,0.08031371,0.13059768,0.10073731,0.0144686075,0.043529037,0.05462841,0.14684033,0.041594733,0.13334885,0.099567436,0.11962808,0.08112382,0.0039680414,0.0,0.0,0.1682607,0.16008437,0.0,0.056312677,0.0,0.020313177,0.14184788,0.0,0.09481257,0.14490871,0.13617383,0.08726364,0.04825986,0.0,0.12899223,0.10980503,0.044315558,0.08104153,0.0,0.12453669,0.015779644,0.028788073,0.02907955,0.0,0.15084003,0.0,0.09932484,0.0,0.094031274,0.0,0.0,0.05731094,0.050168686,0.0,0.08917737,0.1983054,0.0,0.1938699,0.0,0.0,0.0,0.0,0.033569742,0.35719582,0.30320737,0.20211065,0.3048362,0.0,0.0,0.009239395,0.3167132,0.21173063,0.0,0.0,0.124283105,0.16751912,0.2411967,0.057419773,0.047180023,0.34460595,0.2292838,0.1186291,0.0,0.0,0.29110542,0.15413754,0.085972905,0.22415543,0.0,0.0,0.0,0.108485885,0.0,0.13037366,0.018893348,0.0,0.021993896,0.15457207,0.0,0.13707663,0.0,0.20134704,0.0,0.0
14,0.1942723,0.17197947,0.013906727,0.113019384,0.1806695,0.13595554,0.14628868,0.0,0.077999316,0.08364707,0.066390075,0.0,0.10853977,0.08779074,0.1057415,0.049717396,0.17333846,0.20256801,0.14983197,0.08248506,0.053811315,0.18299921,0.062409807,0.030853868,0.14711668,0.009616288,0.15953475,0.08604255,0.008591558,0.036321815,0.0,0.15215807,0.1033562,0.04853179,0.048420437,0.09820597,0.12665948,0.15082817,0.038264327,0.0,0.05530033,0.058475405,0.05480358,0.0,0.01760041,0.17676936,0.02736253,0.06516836,0.094870135,0.10612918,0.2595122,0.0,0.0,0.079575524,0.08441423,0.09293731,0.08477604,0.15326954,0.1308707,0.29312268,0.0634998,0.10485148,0.22578621,0.087932155,0.04416606,0.0,0.2157047,0.13183662,0.0,0.09671858,0.12962209,0.29278928,0.16530938,0.0,0.34483084,0.0,0.07494149,0.1182577,0.0,0.085728444,0.06845199,0.22943924,0.13495405,0.0,0.0,0.0,0.0,0.08077516,0.22663282,0.006936161,0.0,0.0,0.0,0.0,0.17878707,0.39382914,0.24012274,0.1342622,0.03131809,0.0
15,0.070346095,0.069588386,0.10969805,0.09160021,0.17545693,0.08760103,0.07196239,0.092644446,0.17638387,0.21907592,0.11201903,0.1401396,0.16064149,0.21816604,0.18566117,0.10065739,0.14977363,0.03450801,0.13974474,0.19881915,0.096784085,0.1718744,0.14385824,0.17111114,0.06112673,0.065023415,0.10643488,0.08678552,0.1404073,0.025925955,0.12016616,0.18809804,0.19810757,0.21635886,0.058611367,0.021148534,0.20040952,0.054573588,0.106566206,0.0059503247,0.13329686,0.17376506,0.17396921,0.0,0.19167353,0.18432358,0.17078353,0.0,0.0,0.01362913,0.1428442,0.0,0.3370897,0.0065232287,0.0,0.20131856,0.18148275,0.014472459,0.30868143,0.40325734,0.0,0.2769281,0.19890155,0.4046401,0.40502942,0.14231369,0.0,0.0,0.0,0.35678837,0.15828477,0.0,0.24072403,0.0,0.28353247,0.0,0.089486025,0.23658387,0.0,0.0,0.051556874,0.3728983,0.055611193,0.35034996,0.07492943,0.0,0.046652388,0.102934726,0.18386613,0.0,0.0,0.0,0.00049470016,0.20337202,0.15579857,0.21872424,0.29384124,0.16501927,0.14921084,0.11985705
16,0.082112595,0.29468873,0.18922734,0.23105282,0.18710586,0.20068604,0.2828006,0.2517071,0.20617637,0.26024637,0.20075208,0.12713216,0.29660243,0.11840626,0.11473066,0.11801872,0.17511518,0.2258573,0.121363804,0.2182141,0.09298521,0.19441807,0.11461236,0.25608298,0.26698205,0.0659003,0.17693408,0.06253615,0.12907088,0.17328183,0.1580113,0.23686692,0.050229307,0.22246212,0.1628247,0.036544394,0.06179641,0.073148996,0.012289667,0.17571138,0.1450694,0.21972054,0.084158964,0.16740385,0.17140687,0.14584453,0.17813866,0.088192426,0.14372146,0.08604428,0.0,0.13204214,0.01612029,0.15589595,0.16888504,0.14444308,0.13703738,0.30271345,0.20239794,0.05489072,0.12879784,0.08596231,0.12435874,0.0,0.17965667,0.0,0.38573724,0.3368712,0.1207663,0.31558982,0.0,0.34078735,0.33319092,0.33409038,0.14684895,0.0,0.0,0.0,0.08227398,0.06332735,0.11275417,0.21242125,0.1744303,0.24437246,0.360344,0.0,0.023013044,0.1979225,0.0764474,0.0,0.09181429,0.04150424,0.0,0.38070527,0.15350924,0.2206239,0.0,0.29427323,0.0068312986,0.27910507
17,0.19088003,0.111409396,0.27603117,0.19675753,0.24357241,0.27056438,0.15537639,0.18574212,0.14437892,0.29215994,0.21521765,0.2942133,0.29474604,0.11135806,0.12570862,0.24631651,0.122864224,0.28310886,0.30372813,0.32137558,0.28504795,0.1586633,0.1162578,0.12979847,0.14353186,0.09262671,0.16155368,0.24106686,0.16030146,0.27745834,0.24240296,0.15914607,0.18297581,0.13532992,0.21920042,0.058710735,0.11457611,0.19097939,0.056794737,0.2034637,0.21673243,0.16729665,0.11556831,0.24572565,0.12116885,0.14082353,0.18975274,0.033809833,0.05635326,0.18748553,0.09611199,0.11128194,0.37032178,0.2707372,0.027692217,0.4820329,0.0007620198,0.0,0.08877234,0.22478846,0.37497342,0.3771106,0.2547626,0.1644427,0.32234716,0.10824696,0.13510488,0.2498894,0.12638286,0.11257393,0.3402756,0.0,0.21793444,0.14449589,0.13238527,0.0,0.38966018,0.11775179,0.20391615,0.36171922,0.39576992,0.15798303,0.0,0.13207312,0.13517381,0.0,0.116884924,0.09210882,0.16287185,0.15110072,0.095973335,0.192687,0.1407134,0.31817868,0.197222,0.019608673,0.0,0.25874883,0.04173803,0.17626701
18,0.25974524,0.310631,0.2860002,0.26120433,0.20766313,0.1957716,0.14055668,0.16958742,0.34533864,0.28045723,0.18649541,0.29431182,0.2945138,0.12680815,0.25522098,0.1787479,0.258679,0.31804883,0.12909395,0.12142953,0.14645341,0.15634991,0.11301601,0.16721655,0.23041436,0.24003948,0.1979519,0.15129474,0.2028902,0.12771495,0.096093126,0.21075624,0.2540802,0.21492127,0.12244894,0.23339425,0.19207323,0.22418931,0.23171663,0.17433363,0.21369645,0.11280095,0.17374808,0.1432345,0.11654713,0.2821416,0.06688634,0.1587232,0.08777428,0.21424606,0.35277268,0.4753371,0.107562795,0.3596035,0.15134893,0.25494727,0.14196911,0.0,0.36870682,0.43863145,0.1788355,0.39252546,0.45601144,0.0,0.4136404,0.0,0.47901058,0.52214414,0.104559444,0.32025605,0.035290513,0.045769747,0.2929058,0.103381336,0.37116647,0.24253917,0.3203164,0.28447476,0.21971169,0.2905547,0.1031038,0.15318543,0.43510506,0.2670105,0.0,0.43331674,0.25690138,0.44697213,0.2882103,0.24889354,0.18164344,0.0,0.24656342,0.03615638,0.21739483,0.46014246,0.02966275,0.0,0.2824429,0.26008773
19,0.27021235,0.25527835,0.27141044,0.15892467,0.17845787,0.15380068,0.29607412,0.2683978,0.19294372,0.32852274,0.16490941,0.17212255,0.24830481,0.24396966,0.15753333,0.10763092,0.14612475,0.20597127,0.09908955,0.29519418,0.10203413,0.114580765,0.18061489,0.1021777,0.178492,0.14718364,0.06637232,0.15316765,0.11035626,0.112581074,0.06611273,0.12058554,0.108334996,0.32226992,0.11405499,0.13875818,0.13082403,0.16409846,0.1272009,0.044093523,0.12014999,0.25008038,0.17467143,0.09969776,0.031932455,0.29635233,0.14862615,0.09245946,0.06893136,0.18421471,0.20899713,0.08725271,0.32052466,0.003072594,0.28114587,0.32167143,0.09586672,0.07510005,0.065855816,0.23553361,0.31282485,0.097157896,0.31119964,0.38965362,0.30141383,0.1936979,0.017050827,0.36610463,0.18444057,0.2843735,0.03624689,0.040606167,0.000701387,0.0680954,0.3708411,0.14807677,0.12446174,0.32495534,0.21120113,0.021362988,0.014706968,0.21128552,0.29415616,0.25051302,0.0,0.20236139,0.015291706,0.3069246,0.0,0.0,0.24180311,0.41767696,0.16080718,0.31829005,0.04793185,0.11181578,0.3086856,0.22732456,0.0712662,0.0
20,0.28326136,0.14897059,0.14308575,0.33234087,0.18065168,0.25962293,0.20654647,0.24205427,0.15385473,0.28080878,0.30504376,0.13992116,0.25031543,0.16907291,0.28016964,0.22865807,0.3006261,0.22834894,0.20705916,0.31040362,0.1474124,0.18815379,0.24869941,0.12110969,0.10391128,0.24344248,0.19342221,0.1719727,0.08908659,0.17225742,0.2367902,0.20165308,0.1380948,0.25052986,0.20343532,0.14015338,0.11692382,0.24888708,0.17447487,0.23186527,0.06793501,0.23795834,0.16798645,0.1170935,0.090601854,0.24145669,0.1784804,0.104181945,0.17532794,0.20654547,0.40004063,0.37510857,0.13377911,0.3989511,0.07184724,0.32851475,0.42708308,0.0961773,0.34441543,0.21104853,0.10045337,0.023374822,0.4377629,0.0043675276,0.30560228,0.012116702,0.39243472,0.07889292,0.20810482,0.32186422,0.24396506,0.14479375,0.30970702,0.0,0.03522992,0.10079726,0.23639059,0.16689473,0.0,0.064877704,0.13227047,0.16357136,0.3397422,0.0502955,0.1610482,0.0,0.014724543,0.1671315,0.13942388,0.11819859,0.14581352,0.2738991,0.27131304,0.21246096,0.2591861,0.04635026,0.35338336,0.28279704,0.092882596,0.43270844
